,Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (�),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,long,lat,street_number,route,neighborhood,postal_town,county,postal_code
0,01/01/2017,"1 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST",Dublin 3,Dublin,"�242,424.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.1814048,53.3627098,,Seafield Road East,Clontarf,Dublin 3,County Dublin,
1,01/01/2017,"11 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST",Dublin 3,Dublin,"�242,424.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.1814048,53.3627098,,Seafield Road East,Clontarf,Dublin 3,County Dublin,
2,01/01/2017,"124 SEAFIELD RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"�535,500.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.1832234,53.3627462,124,Seafield Road East,Clontarf,Dublin 3,County Dublin,D03 N5V2
3,01/01/2017,"126 SEAFIELD RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"�630,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1830869,53.3627174,126,Seafield Road East,Clontarf,Dublin 3,County Dublin,D03 CY23
4,01/01/2017,"128 SEAFIELD RD, CLONTARF, DUBLIN 3",Dublin 3,Dublin,"�535,500.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.1829667,53.362684,128,Seafield Road East,Clontarf,Dublin 3,County Dublin,D03 XT86
5,01/01/2017,"13 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3",Dublin 3,Dublin,"�271,800.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.1814048,53.3627098,,Seafield Road East,Clontarf,Dublin 3,County Dublin,
6,01/01/2017,"18 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST",Dublin 3,Dublin,"�242,424.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.1814048,53.3627098,,Seafield Road East,Clontarf,Dublin 3,County Dublin,
7,01/01/2017,"20 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3",Dublin 3,Dublin,"�360,000.00",No,No,Second-Hand Dwelling house /Apartment,,-6.1814048,53.3627098,,Seafield Road East,Clontarf,Dublin 3,County Dublin,
8,01/01/2017,"25 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST",Dublin 3,Dublin,"�148,148.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.1814048,53.3627098,,Seafield Road East,Clontarf,Dublin 3,County Dublin,
9,01/01/2017,"32 PINTAIL HOUSE, REDCOURT OAKS, SEAFIELD RD EAST DUBLIN 3",Dublin 3,Dublin,"�352,800.00",Yes,No,Second-Hand Dwelling house /Apartment,,-6.1814048,53.3627098,,Seafield Road East,Clontarf,Dublin 3,County Dublin,
